user_id,place_name,city,vibe,rating
69a99b93bce19993a89a13c3,The Haveli,gautam buddha nagar,Nightlife,5
69a99b93bce19993a89a13c3,The Leela Palace Bar,gautam buddha nagar,Nightlife,5
69a99b93bce19993a89a13c3,Malt and Music at The Leela,gautam buddha nagar,Nightlife,5
69a99b93bce19993a89a13c3,The Haveli,,Nightlife,5
69a99b93bce19993a89a13c3,The Leela Palace Bar,,Nightlife,5
69a99b93bce19993a89a13c3,Malt and Music at The Leela,,Nightlife,5
69a99ec1b56708cfa848c0a3,Fun Republic Mall,gautam buddha nagar,Adventurous,5
69a99ec1b56708cfa848c0a3,FNG Fun World,gautam buddha nagar,Adventurous,5
69a99ec1b56708cfa848c0a3,Surajpur Bird Sanctuary,gautam buddha nagar,Photography,5
69a99ec1b56708cfa848c0a3,Okhla Bird Sanctuary,gautam buddha nagar,Photography,5
69a99ec1b56708cfa848c0a3,Dream World Water Park,gautam buddha nagar,Photography,5
69a99ec1b56708cfa848c0a3,Aerthekar Leisure Farm,goa,Foodie,4
69a99ec1b56708cfa848c0a3,Siolim House,goa,Foodie,5
69a99ec1b56708cfa848c0a3,Fort Aguada,goa,Historic,5
69a99ec1b56708cfa848c0a3,Siolim House,goa,Historic,4
69a99ec1b56708cfa848c0a3,Fun Republic Mall,,Adventurous,5
69a99ec1b56708cfa848c0a3,FNG Fun World,,Adventurous,5
69a99ec1b56708cfa848c0a3,Surajpur Bird Sanctuary,,Photography,5
69a99ec1b56708cfa848c0a3,Okhla Bird Sanctuary,,Photography,5
69a99ec1b56708cfa848c0a3,Dream World Water Park,,Photography,5
69a99ec1b56708cfa848c0a3,Siolim House,,Foodie,5
69a99ec1b56708cfa848c0a3,Fort Aguada,,Historic,5
69ab1599021a1ef5d1961a6a,Tughlaqabad Fort,gautam buddha nagar,Adventurous,5
69ab1599021a1ef5d1961a6a,Bhatia Zoo,gautam buddha nagar,Adventurous,5
69ab1599021a1ef5d1961a6a,Yamuna Sports Complex,gautam buddha nagar,Adventurous,5
69ab1599021a1ef5d1961a6a,Patna Museum,patna,Historic,4
69ab1599021a1ef5d1961a6a,Agam Kuan,patna,Historic,4
69ab1599021a1ef5d1961a6a,ISKCON Patna Temple,patna,Art & Culture,4
69ab1599021a1ef5d1961a6a,Sanjay Gandhi Jaivik Udhyan,patna,Art & Culture,5
69ab1599021a1ef5d1961a6a,Kargil Ashram  Patna,patna,Wellness,4
69ab1599021a1ef5d1961a6a,Golghar,patna,Wellness,5
69ab1599021a1ef5d1961a6a,Tughlaqabad Fort,,Adventurous,5
69ab1599021a1ef5d1961a6a,Bhatia Zoo,,Adventurous,5
69ab1599021a1ef5d1961a6a,Yamuna Sports Complex,,Adventurous,5
69ab1599021a1ef5d1961a6a,Sanjay Gandhi Jaivik Udhyan,,Art & Culture,5
69ab1599021a1ef5d1961a6a,Golghar,,Wellness,5
69ab1a3fba51011fa2bde4d5,Mahaveer Swami Jaiva Dharma Mandir,padrauna,Historic,4
69ab1a3fba51011fa2bde4d5,Raja Shiva Prasad College,padrauna,Historic,4
69ab1a3fba51011fa2bde4d5,Padrauna Government Art Gallery,padrauna,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Bhatia Bazaar,padrauna,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Padrauna Fort,padrauna,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Shiv Dulari Temple,padrauna,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Shiv Dulari Temple,padrauna,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Padrauna Government Art Gallery,,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Bhatia Bazaar,,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Padrauna Fort,,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Shiv Dulari Temple,,Art & Culture,5
69ab1a3fba51011fa2bde4d5,Shiv Dulari Temple,,Art & Culture,5
69ab1ceaba51011fa2bde544,Bara Imambara,Lucknow,Romantic,5
69ab1ceaba51011fa2bde544,Nawab Wajid Ali Shah Zoological Garden,Lucknow,Romantic,5
69ab1ceaba51011fa2bde544,Constantia House,Lucknow,Romantic,5
69ab1ceaba51011fa2bde544,Janeshwar Mishra Park,Lucknow,Romantic,5
69ab1ceaba51011fa2bde544,Constantia House,Lucknow,Romantic,3
69ab1ceaba51011fa2bde544,Moon Dance Cafe,manali,Nightlife,4
69ab1ceaba51011fa2bde544,Shiva Valley,manali,Nightlife,4
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,manali,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,manali,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,manali,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,manali,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,manali,Nightlife,5
69ab1ceaba51011fa2bde544,Bara Imambara,,Romantic,5
69ab1ceaba51011fa2bde544,Nawab Wajid Ali Shah Zoological Garden,,Romantic,5
69ab1ceaba51011fa2bde544,Constantia House,,Romantic,5
69ab1ceaba51011fa2bde544,Janeshwar Mishra Park,,Romantic,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,,Nightlife,5
69ab1ceaba51011fa2bde544,Johnson's Wax Bar,,Nightlife,5
69abcad940206a6b0859897a,Sisodiya Rani Bagh,jaipur,Historic,5
69abcad940206a6b0859897a,Rambagh Palace,jaipur,Historic,5
69abcad940206a6b0859897a,Moti Doongri,jaipur,Historic,5
69abcad940206a6b0859897a,Rambagh Palace,jaipur,Historic,5
69abcad940206a6b0859897a,Mansagar Lake,jaipur,Historic,5
69abcad940206a6b0859897a,Anokhi Museum,jaipur,Historic,5
69abcad940206a6b0859897a,Niros,jaipur,Foodie,5
69abcad940206a6b0859897a,Rawat Kachori Wale,jaipur,Foodie,5
69abcad940206a6b0859897a,Jhalana Lake,jaipur,Beach,5
69abcad940206a6b0859897a,Moti Doongri,jaipur,Beach,5
69abcad940206a6b0859897a,Jawahar Kala Kendra,jaipur,Beach,5
69abcad940206a6b0859897a,Sisodiya Rani Bagh,,Historic,5
69abcad940206a6b0859897a,Rambagh Palace,,Historic,5
69abcad940206a6b0859897a,Moti Doongri,,Historic,5
69abcad940206a6b0859897a,Rambagh Palace,,Historic,5
69abcad940206a6b0859897a,Mansagar Lake,,Historic,5
69abcad940206a6b0859897a,Anokhi Museum,,Historic,5
69abcad940206a6b0859897a,Niros,,Foodie,5
69abcad940206a6b0859897a,Rawat Kachori Wale,,Foodie,5
69abcad940206a6b0859897a,Jhalana Lake,,Beach,5
69abcad940206a6b0859897a,Moti Doongri,,Beach,5
69abcad940206a6b0859897a,Jawahar Kala Kendra,,Beach,5
69ad9933eb5f2629b9505f62,Man Singh Wild Life Zoo,gautam buddha nagar,Adventurous,5
69ad9933eb5f2629b9505f62,Himalayan Weavers,gautam buddha nagar,Adventurous,5
69ad9933eb5f2629b9505f62,Damdama Lake,gautam buddha nagar,Adventurous,5
69ad9933eb5f2629b9505f62,Lotus Temple,gautam buddha nagar,Cultural,5
69ad9933eb5f2629b9505f62,Tughlaqabad Fort,gautam buddha nagar,Cultural,5
69ad9933eb5f2629b9505f62,Bharat Bhavan,gautam buddha nagar,Cultural,5
69ad9933eb5f2629b9505f62,National Gallery of Modern Art,gautam buddha nagar,Cultural,5
69ad9933eb5f2629b9505f62,Bharat Mata Mandir,gautam buddha nagar,Photography,5
69ad9933eb5f2629b9505f62,Sultanpur National Park,gautam buddha nagar,Photography,5
69ad9933eb5f2629b9505f62,Dhobi Ghat,mumbai,Historic,4
69ad9933eb5f2629b9505f62,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,mumbai,Historic,5
69ad9933eb5f2629b9505f62,Elephanta Caves,mumbai,Historic,4
69ad9933eb5f2629b9505f62,Gateway of India,mumbai,Historic,4
69ad9933eb5f2629b9505f62,Colaba Causeway,mumbai,Shopping,4
69ad9933eb5f2629b9505f62,The Table,mumbai,Foodie,4
69ad9933eb5f2629b9505f62,Haji Ali Juice Centre,mumbai,Foodie,4
69ad9933eb5f2629b9505f62,Bandra Worli Sea Link,mumbai,Beach,4
69ad9933eb5f2629b9505f62,Juhu Beach,mumbai,Beach,5
69ad9933eb5f2629b9505f62,Marine Drive,mumbai,Beach,5
69ad9933eb5f2629b9505f62,Kanhoji Aangre Marine National Park,mumbai,Beach,4
69ad9933eb5f2629b9505f62,Marine Drive,mumbai,Beach,5
69ad9933eb5f2629b9505f62,Man Singh Wild Life Zoo,,Adventurous,5
69ad9933eb5f2629b9505f62,Himalayan Weavers,,Adventurous,5
69ad9933eb5f2629b9505f62,Damdama Lake,,Adventurous,5
69ad9933eb5f2629b9505f62,Lotus Temple,,Cultural,5
69ad9933eb5f2629b9505f62,Tughlaqabad Fort,,Cultural,5
69ad9933eb5f2629b9505f62,Bharat Bhavan,,Cultural,5
69ad9933eb5f2629b9505f62,National Gallery of Modern Art,,Cultural,5
69ad9933eb5f2629b9505f62,Bharat Mata Mandir,,Photography,5
69ad9933eb5f2629b9505f62,Sultanpur National Park,,Photography,5
69ad9933eb5f2629b9505f62,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,,Historic,5
69ad9933eb5f2629b9505f62,Juhu Beach,,Beach,5
69ad9933eb5f2629b9505f62,Marine Drive,,Beach,5
69ad9933eb5f2629b9505f62,Marine Drive,,Beach,5
